Country,airport_code,type,name,location_raw,opening_hours_raw,url,conditions_raw,facilities_raw,slug,airport_name,terminal,City
Isle of Man,IOM,LOUNGE,Rendezvous Executive Lounge,"Isle of Man Ronaldsway, Terminal","Monday: 06:00 - 20:00
Tuesday: 06:00 - 20:00
Wednesday: 06:00 - 20:00
Thursday: 06:00 - 20:00
Friday: 06:00 - 20:00
Saturday: 06:00 - 14:00
Sunday: 10:00 - 20:00
Note: Closed 25 Dec",https://my.prioritypass.com/en-GB/lounges/isle-of-man/isle-of-man-ronaldsway/iom1-rendezvous-executive-lounge,Children under 12 years are not admitted - Smart dress at all times.,"Alcoholic drinks (Standard)
Conference facilities
Digital card accepted
Newspapers / magazines
Soft drinks
Telephone
Televisions
Wi-Fi",iom1-rendezvous-executive-lounge,Isle Of Man Airport,Unknown,Castletown
Brazil,IOS,LOUNGE,The Lounge Ilheus,"Ilheus Jorge Amado, Terminal",08:00 - 18:00 daily,https://my.prioritypass.com/en-GB/lounges/brazil/ilheus-jorge-amado/ios-the-lounge-ilheus,"No smoking (including vaping), No dress code, Children are not admitted","Air conditioning
Alcoholic drinks (Standard)
Conference facilities
Digital card accepted
Disabled access
Flight information
Soft drinks
Wi-Fi",ios-the-lounge-ilheus,Ilhéus Jorge Amado Airport,Unknown,Ilhéus
Chile,IQQ,LOUNGE,Salones VIP Pacific Club,"Iquique Diego Aracena Intl, Terminal",07:00 - 22:00 daily,https://my.prioritypass.com/en-GB/lounges/chile/diego-aracena-international/iqq-salones-vip-pacific-club,Maximum 6 hour stay - Children under 2 years are admitted free - Separate children play area available - Complimentary use of printers - Smart casual dress at all times.,"Air conditioning
Alcoholic drinks (Standard)
Digital card accepted
Disabled access
Flight information
Newspapers / magazines
Showers
Soft drinks
Telephone
Televisions
Wi-Fi",iqq-salones-vip-pacific-club,Diego Aracena Airport,Unknown,Iquique
Peru,IQT,LOUNGE,Caral VIP Lounge,"Iquitos International, Terminal",06:00 - 22:00 daily,https://my.prioritypass.com/en-GB/lounges/peru/coronel-fap-francisco-secada-vignetta-international/iqt-caral-vip-lounge,Maximum 4 hour stay - Children under 5 years are admitted free - Complimentary alcoholic drinks are limited three per adult (beer and wine only).,"Air conditioning
Alcoholic drinks (Standard)
Digital card accepted
Disabled access
Newspapers / magazines
Soft drinks
Televisions
Wi-Fi",iqt-caral-vip-lounge,Colonel Fap Francisco Secada Vignetta International Airport,Unknown,Iquitos
Pakistan,ISB,LOUNGE,CIP Lounge,"Islamabad International, Terminal",24 hours daily,https://my.prioritypass.com/en-GB/lounges/pakistan/islamabad-international/isb2-cip-lounge,Maximum 2 hour stay - Children under 2 years are admitted.,"Air conditioning
Digital card accepted
Disabled access
Flight information
Newspapers / magazines
Soft drinks
Telephone
Televisions
Wi-Fi",isb2-cip-lounge,Islamabad International Airport,Unknown,Attock
Pakistan,ISB,LOUNGE,Airline Lounge,"Islamabad International, Terminal","24 hours daily
Note: Hours may vary according to flight schedules.",https://my.prioritypass.com/en-GB/lounges/pakistan/islamabad-international/isb-airline-lounge,Access is permitted 3 hours prior to scheduled flight departure - Children under 2 years are admitted free - Separate prayer room available.,"Air conditioning
Digital card accepted
Disabled access
Flight information
Newspapers / magazines
Soft drinks
Telephone
Televisions",isb-airline-lounge,Islamabad International Airport,Unknown,Attock
Turkey,IST,REFRESH,XpresSpa,"Istanbul, International Terminal","24 hours daily
Note: For Cardholders who pay for individual visits or guest visits, please check this particular offer against your visit fee to ensure it represents value for you. We advise Cardholders to review full Conditions of access below before visiting.",https://my.prioritypass.com/en-GB/lounges/turkey/istanbul/ist14s-xpresspa,"1. Cardholders can use their lounge visit entitlement to take advantage of a face mask with a 20 minute autonomous massage session on a massage lounger (a US$45 value). 2. Treatment represents a  single lounge visit within the Cardholder's existing lounge visit allocation for which the Cardholder will, where applicable, be charged. For example, if a Cardholder registers 1 Guest they will be charged as 1 Cardholder visit + 1 Guest visit on their account. Only 1 card per visit per Cardholder will be accepted and at point of registration. 3. To be eligible, Cardholders must present a valid Card and Boarding Pass with confirmed same-day travel before treatment. 4. Cardholder is responsible for all additional charges incurred. 5. XpresSpa usage is subject to availability. 6. Priority Pass and its Affiliates Companies shall not be liable should the offer value be less than Customers lounge visit entitlement. Customers who pay for lounge and visits are advised to review programme Conditions of Use prior to accessing the offer.","Air conditioning
Digital card accepted
Disabled access
Wi-Fi",ist14s-xpresspa,Istanbul Airport,International Terminal,"Arnavutköy, Istanbul"
Turkey,IST,REFRESH,XpresSpa,"Istanbul, International Terminal","24 hours daily
Note: For Cardholders who pay for individual visits or guest visits, please check this particular offer against your visit fee to ensure it represents value for you. We advise Cardholders to review full Conditions of access below before visiting.",https://my.prioritypass.com/en-GB/lounges/turkey/istanbul/ist15s-xpresspa,"1. Cardholders can use their lounge visit entitlement to take advantage of a face mask with a 20 minute autonomous massage session on a massage lounger (a US$45 value). 2. Treatment represents a  single lounge visit within the Cardholder's existing lounge visit allocation for which the Cardholder will, where applicable, be charged. For example, if a Cardholder registers 1 Guest they will be charged as 1 Cardholder visit + 1 Guest visit on their account. Only 1 card per visit per Cardholder will be accepted and at point of registration. 3. To be eligible, Cardholders must present a valid Card and Boarding Pass with confirmed same-day travel before treatment. 4. Cardholder is responsible for all additional charges incurred. 5. XpresSpa usage is subject to availability. 6. Priority Pass and its Affiliates Companies shall not be liable should the offer value be less than Customers lounge visit entitlement. Customers who pay for lounge and visits are advised to review programme Conditions of Use prior to accessing the offer.","Air conditioning
Digital card accepted
Disabled access
Wi-Fi",ist15s-xpresspa,Istanbul Airport,International Terminal,"Arnavutköy, Istanbul"
Turkey,IST,LOUNGE,IGA Lounge Dom,"Istanbul, Domestic Terminal",24 hours daily,https://my.prioritypass.com/en-GB/lounges/turkey/istanbul/ist11-iga-lounge-dom,Maximum 3 hour stay - Children under 2 years are admitted free - Separate smoking room outside the lounge.,"Air conditioning
Alcoholic drinks (Standard)
Digital card accepted
Disabled access
Flight information
Newspapers / magazines
Soft drinks
Wi-Fi",ist11-iga-lounge-dom,Istanbul Airport,Domestic Terminal,"Arnavutköy, Istanbul"
Turkey,IST,LOUNGE,IGA Lounge International,"Istanbul, International Terminal",24 hours daily.,https://my.prioritypass.com/en-GB/lounges/turkey/istanbul/ist9-iga-lounge-international,"Maximum 3 hour stay - Children under 2 years are admitted free - Duty Free store within the lounge with exclusive access for lounge guests only - Separate male, female and multifaith prayer room available - Complimentary use of computers, billiards and skype rooms - Separate smoking terrace available.","Air conditioning
Alcoholic drinks (Standard)
Conference facilities
Digital card accepted
Disabled access
Flight information
Showers
Soft drinks
Televisions
Wi-Fi",ist9-iga-lounge-international,Istanbul Airport,International Terminal,"Arnavutköy, Istanbul"
Turkey,IST,REFRESH,XpresSpa,"Istanbul, International Terminal","24 hours daily
Note: For Cardholders who pay for individual visits or guest visits, please check this particular offer against your visit fee to ensure it represents value for you. We advise Cardholders to review full Conditions of access below before visiting.",https://my.prioritypass.com/en-GB/lounges/turkey/istanbul/ist13s-xpresspa,"1. Cardholders can use their lounge visit entitlement to take advantage of a face mask with a 20 minute autonomous massage session on a massage lounger (a US$45 value). 2. Treatment represents a  single lounge visit within the Cardholder's existing lounge visit allocation for which the Cardholder will, where applicable, be charged. For example, if a Cardholder registers 1 Guest they will be charged as 1 Cardholder visit + 1 Guest visit on their account. Only 1 card per visit per Cardholder will be accepted and at point of registration. 3. To be eligible, Cardholders must present a valid Card and Boarding Pass with confirmed same-day travel before treatment. 4. Cardholder is responsible for all additional charges incurred. 5. XpresSpa usage is subject to availability. 6. Priority Pass and its Affiliates Companies shall not be liable should the offer value be less than Customers lounge visit entitlement. Customers who pay for lounge and visits are advised to review programme Conditions of Use prior to accessing the offer.","Air conditioning
Digital card accepted
Disabled access
Wi-Fi",ist13s-xpresspa,Istanbul Airport,International Terminal,"Arnavutköy, Istanbul"
Turkey,IST,LOUNGE,Pop up lounge by IGA,"Istanbul, International Terminal",24 hours daily,https://my.prioritypass.com/en-GB/lounges/turkey/istanbul/ist12-pop-up-lounge-by-iga,"No smoking (including vaping), No dress code, Children under 2 years admitted free","Air conditioning
Alcoholic drinks (Standard)
Complimentary alcoholic drinks are limited to beer only
Digital card accepted
Disabled access
Flight information
Soft drinks
Televisions
Wi-Fi",ist12-pop-up-lounge-by-iga,Istanbul Airport,International Terminal,"Arnavutköy, Istanbul"
Turkey,IST,REFRESH,XpresSpa,"Istanbul, International Terminal","24 hours daily
Note: For Cardholders who pay for individual visits or guest visits, please check this particular offer against your visit fee to ensure it represents value for you. We advise Cardholders to review full Conditions of access below before visiting.",https://my.prioritypass.com/en-GB/lounges/turkey/istanbul/ist16s-xpresspa,"1. Cardholders can use their lounge visit entitlement to take advantage of a face mask with a 20 minute autonomous massage session on a massage lounger (a US$45 value). 2. Treatment represents a single lounge visit within the Cardholder's existing lounge visit allocation for which the Cardholder will, where applicable, be charged. For example, if a Cardholder registers 1 Guest they will be charged as 1 Cardholder visit + 1 Guest visit on their account. Only 1 card per visit per Cardholder will be accepted and at point of registration. 3. To be eligible, Cardholders must present a valid Card and Boarding Pass with confirmed same-day travel before treatment. 4. Cardholder is responsible for all additional charges incurred. 5.XpresSpa usage is subject to availability. 6. Priority Pass and its Affiliates Companies shall not be liable should the offer value be less than Customers lounge visit entitlement. Customers who pay for lounge and visits are advised to review programme Conditions of Use prior to accessing the offer.","Air conditioning
Digital card accepted
Disabled access
Wi-Fi",ist16s-xpresspa,Istanbul Airport,International Terminal,"Arnavutköy, Istanbul"
Japan,ITM,EAT,Osaka Aiport Winery,"Osaka Itami Intl, Central Block","11:00 - 22:00 daily
Note: Cardholders will not be admitted into the Osaka Airport Winery outside these hours.
Last orders taken by 21:00 daily.

For Cardholders who pay for individual visits or guest visits, please check this particular offer against your visit fee to ensure it represents value for you. We advise Cardholders to review full Conditions of access before visiting.",https://my.prioritypass.com/en-GB/lounges/japan/osaka-international-itami-intl/itm2d-osaka-aiport-winery,"1. Cardholders can use their lounge visit entitlement for a maximum of a 2 hour stay to take advantage of 1 set menu designated by the restaurant including unlimited house wine or 1 soft drink. The set menu offer represents a single lounge visit within the Cardholder’s existing lounge visit allocation for which the Cardholder will, where applicable, be charged. Only 1 card per visit per Cardholder will be accepted at point
of registration. 2. Cardholder cannot revisit the restaurant within a 6 hour period starting from the time of entry. 3. No guests allowed. 4.  Children under 7 years are free when sharing meal with an adult. 5. To be eligible, Cardholders must present a valid Card and Boarding Pass within a 3 hour period prior to flight departure before placing an order. 6. Set menu is non-transferable & cannot be exchanged for cash substitute/refund or be used towards gratuity. 7. Priority Pass and its Affiliates Companies shall not be liable should the offer value be less than Customers lounge visit entitlement. 8. This location is offered as an alternative to a lounge visit and other airport experiences. Using entitlements repeatedly within a single airport trip may result in charges from your benefit provider.","Air conditioning
Alcoholic drinks (Standard)
Digital card accepted
Disabled access
Soft drinks
Wi-Fi",itm2d-osaka-aiport-winery,Osaka Itami Airport,Central Block,Osaka
India,IXA,LOUNGE,Primus Lounge,"Agartala Maharaja Bir Bikram, Terminal",24 hours daily,https://my.prioritypass.com/en-GB/lounges/india/agartala-singerbhil/ixa1-primus-lounge,Maximum 2 hour stay - Children under 12 years are admitted free.,"Air conditioning
Alcoholic drinks (Standard)
Digital card accepted
Disabled access
Flight information
Newspapers / magazines
Soft drinks
Telephone
Televisions
Wi-Fi",ixa1-primus-lounge,Maharaja Bir Bikram Airport,Unknown,Agartala
India,IXB,EAT,Take off Bar,"Bagdogra, Terminal 1","05:30 -  last flight (18:45)
Note: For Cardholders who pay for individual visits or guest visits, please check this particular offer against your visit fee to ensure it represents value for you. We advise Cardholders to review full Conditions of access below before visiting.

Take off Bar is an ideal place for travellers to relax, freshen up and enjoy a selection of food and beverages.",https://my.prioritypass.com/en-GB/lounges/india/bagdogra/ixb1d-take-off-bar,"1. Cardholders can use their lounge visit entitlement to take advantage of the buffet spread in a 24hr period. The buffet spread represents a single lounge visit within the Cardholder's existing lounge visit allocation for which the Cardholder will, where applicable, be charged. E.g. if a Cardholder registers 1 Guest they also will be able to take advantage of the buffet spread within a 24hr period and will be charged as 1 Cardholder visit + 1 Guest visit on their account. Only 1 card per visit per Cardholder will be accepted at point of registration. 2. To be eligible, Cardholders must present a valid Card and Boarding Pass with same-day travel before placing an order. 3. Items from the À la carte menu will be at an additional charge. Soft drinks are subject to payment. 4. Buffet spread is non-transferable & cannot be exchanged for cash substitute/ refund or be used towards gratuity. 5. Priority Pass and its Affiliates Companies shall not be liable should the offer value be less than Customers lounge visit entitlement. Customers who pay for lounge and visits are advised to review programme Conditions of Use prior to accessing the offer. 6. This location is offered as an alternative to a lounge visit and other airport experiences. Using entitlements repeatedly within a single airport trip may result in charges from your benefit provider.","Air conditioning
Alcoholic drinks (Standard)
Digital card accepted
Flight information
Soft drinks
Televisions
Wi-Fi",ixb1d-take-off-bar,Bagdogra Airport,Terminal 1,Siliguri
India,IXC,LOUNGE,Primus Lounge,"Chandigarh International, Domestic Terminal",04:00 - 23:00 daily,https://my.prioritypass.com/en-GB/lounges/india/chandigarh/ixc6-primus-lounge,Maximum 2 hour stay - Children under 12 years are admitted free.,"Air conditioning
Alcoholic drinks (Standard)
Digital card accepted
Disabled access
Flight information
Luggage storage
Newspapers / magazines
Soft drinks
Televisions
Wi-Fi",ixc6-primus-lounge,Chandigarh International Airport,Domestic Terminal,Chandigarh
India,IXC,LOUNGE,Primus Lounge,"Chandigarh International, International Terminal",24 hours daily,https://my.prioritypass.com/en-GB/lounges/india/chandigarh/ixc5-primus-lounge,Maximum 2 hour stay - Children under 12 years are admitted free.,"Air conditioning
Digital card accepted
Disabled access
Flight information
Luggage storage
Newspapers / magazines
Soft drinks
Televisions
Wi-Fi",ixc5-primus-lounge,Chandigarh International Airport,International Terminal,Chandigarh
India,IXD,LOUNGE,Zesto Executive Lounge,"Prayagraj, Terminal",08:00 - 18:00 daily,https://my.prioritypass.com/en-GB/lounges/india/allahabad-bamrauli-air-force-base/ixd-zesto-executive-lounge,Maximum 2 hour stay - Children under 2 years are admitted free.,"A la carte menu
Air conditioning
Digital card accepted
Disabled access
Flight information
Newspapers / magazines
Soft drinks
Televisions
Wi-Fi",ixd-zesto-executive-lounge,Allahabad Bamrauli Airport,Unknown,Allahabad
India,IXJ,LOUNGE,Paahun Lounge & Restaurant,"Jammu, Terminal",06:30 - 21:00 daily,https://my.prioritypass.com/en-GB/lounges/india/jammu-satwari/ixj-paahun-lounge-and-restaurant,Maximum 2 hour stay - Children under 12 years are admitted free - Complimentary set menu provided.,"A la carte menu
Air conditioning
Digital card accepted
Disabled access
Flight information
Newspapers / magazines
Soft drinks
Televisions
Wi-Fi",ixj-paahun-lounge-and-restaurant,Jammu Airport,Unknown,Jammu
India,IXM,LOUNGE,Primus Lounge,"Madurai International, Terminal",24 hours daily,https://my.prioritypass.com/en-GB/lounges/india/madurai/ixm1-primus-lounge,Maximum 3 hour stay - Children under 12 years are admitted free - Complimentary use of iPad - Separate smoking room available outside the lounge.,"A la carte menu
Air conditioning
Digital card accepted
Disabled access
Flight information
Luggage storage
Newspapers / magazines
Snacks
Soft drinks
Televisions
Wi-Fi",ixm1-primus-lounge,Madurai International Airport,Unknown,Madurai
India,IXR,LOUNGE,The Airr Lounge and Bar,"Ranchi Birsa Munda, Terminal 1",06:00 - 23:00 daily,https://my.prioritypass.com/en-GB/lounges/india/birsa-munda/ixr2-the-airr-lounge-and-bar,Maximum 2 hour stay - Children under 5 years are admitted free.,"Air conditioning
Alcoholic drinks (Standard)
Digital card accepted
Flight information
Newspapers / magazines
Shoe shine
Soft drinks
Televisions
Wi-Fi",ixr2-the-airr-lounge-and-bar,Ranchi Birsa Munda Airport,Terminal 1,Ranchi
India,JAI,LOUNGE,Adani Lounge,"Jaipur International, Terminal 2",24 hours daily,https://my.prioritypass.com/en-GB/lounges/india/jaipur-international/jai1-adani-lounge,"No smoking (including vaping), No dress code, Children are not admitted","A la carte menu
Air conditioning
Digital card accepted
Disabled access
Flight information
Newspapers / magazines
Soft drinks
Televisions
Wi-Fi",jai1-adani-lounge,Jaipur International Airport,Terminal 2,Jaipur
Brazil,JDO,LOUNGE,Advantage VIP Lounge,"Juazeiro Do Norte O. Bezerra de Menezes, Terminal",24 hours daily,https://my.prioritypass.com/en-GB/lounges/brazil/juazeiro-do-norte/jdo-advantage-vip-lounge,Maximum 3 hour stay - Children under 2 years are admitted free.,"Air conditioning
Alcoholic drinks (Standard)
Digital card accepted
Disabled access
Flight information
Soft drinks
Telephone
Televisions
Wi-Fi",jdo-advantage-vip-lounge,Orlando Bezerra De Menezes Airport,Unknown,Juazeiro do Norte
Saudi Arabia,JED,LOUNGE,First Class Lounge,"Jeddah King A Aziz Intl, North Terminal",24 hours daily.,https://my.prioritypass.com/en-GB/lounges/saudi-arabia/king-abdulaziz-international/jed1-first-class-lounge,Children under 2 years are admitted free - Children must be accompanied by an adult at all times - Separate smoking area available.,"Air conditioning
Digital card accepted
Disabled access
Flight information
Newspapers / magazines
Soft drinks
Telephone
Televisions",jed1-first-class-lounge,King Abdul Aziz International Airport,North Terminal,Jeddah
Saudi Arabia,JED,LOUNGE,naSmiles Lounge,"Jeddah King A Aziz Intl, Domestic Terminal",24 hours daily,https://my.prioritypass.com/en-GB/lounges/saudi-arabia/king-abdulaziz-international/jed5-nasmiles-lounge,Maximum 3 hour stay - Children  under 5 years are admitted free.,"Air conditioning
Conference facilities
Digital card accepted
Disabled access
Flight information
Soft drinks
Telephone
Televisions
Wi-Fi",jed5-nasmiles-lounge,King Abdul Aziz International Airport,Domestic Terminal,Jeddah
